issue,index,n_rows,n_cols,page_number,match_score,match_margin,match_source,scan_rel_path
1968_03,5,5,11,38,0.977,0.864,cells,1968/03/IMG_0123_1L.jpg
1968_03,6,3,6,50,0.952,0.841,cells,1968/03/IMG_0129_1L.jpg
1968_03,7,6,4,67,1.0,0.333,cells,1968/03/IMG_0137_2R.jpg
1968_03,8,11,3,70,0.938,0.562,cells,1968/03/IMG_0139_1L.jpg
1968_03,9,2,2,79,0.659,0.136,context,1968/03/IMG_0143_2R.jpg
1968_03,10,3,3,79,1.0,0.751,cells,1968/03/IMG_0143_2R.jpg
1968_03,11,3,4,86,0.917,0.667,cells,1968/03/IMG_0147_1L.jpg
1968_03,12,2,3,88,0.963,0.667,cells,1968/03/IMG_0148_1L.jpg
1968_03,13,19,6,93,1.0,0.903,cells,1968/03/IMG_0150_2R.jpg
1968_04,0,9,6,21,0.794,0.618,cells,1968/04/IMG_0014_1L.jpg
1968_04,1,3,7,25,0.903,0.355,cells,1968/04/IMG_0016_1L.jpg
1968_04,2,15,11,26,0.881,0.429,cells,1968/04/IMG_0016_2R.jpg
1968_04,3,9,5,27,1.0,0.474,cells,1968/04/IMG_0017_1L.jpg
1968_04,4,23,9,28,1.0,0.611,cells,1968/04/IMG_0017_2R.jpg
1968_04,5,1,6,34,1.0,0.35,context,1968/04/IMG_0020_2R.jpg
1968_04,6,1,2,34,1.0,0.429,context,1968/04/IMG_0020_2R.jpg
1968_04,7,1,6,34,1.0,0.733,context,1968/04/IMG_0020_2R.jpg
1968_04,8,2,6,34,0.892,0.658,context,1968/04/IMG_0020_2R.jpg
1968_04,9,5,9,36,1.0,0.333,cells,1968/04/IMG_0021_2R.jpg
1968_04,10,6,10,37,0.658,0.547,cells,1968/04/IMG_0022_1L.jpg
1968_04,11,7,10,38,0.582,0.364,cells,1968/04/IMG_0022_2R.jpg
1968_04,12,1,4,39,1.0,0.833,context,1968/04/IMG_0023_1L.jpg
1968_04,13,3,10,71,1.0,0.947,cells,1968/04/IMG_0039_1L.jpg
1968_05,0,4,6,60,0.957,0.043,cells,1968/05/IMG_0083_1L.jpg
1968_05,1,13,8,61,0.971,0.353,cells,1968/05/IMG_0083_2R.jpg
